CD_MUNTY_REFNIS,MS_TOT_NET_INC,MS_TOT_RESIDENTS,Average_Income_Per_Citizen
73032,230048740.28,9921,23188.059699627054
73040,205551207.51,8726,23556.17780311712
73042,587246897.03,26270,22354.278531785305
73066,373568038.51,16850,22170.21000059347
73083,704251825.67,31915,22066.483649381167
73098,179265777.59,7473,23988.462142379234
73107,753716431.21,39914,18883.510327454027
73109,97165647.72,4387,22148.5406245726
81001,775800695.88,31222,24847.885973992696
81003,171644831.48,5730,29955.467972076785
81004,342976421.63,17652,19429.890189780195
81013,41265500.12,2003,20601.847289066398
81015,220355417.34,8462,26040.58347199244
82003,340633815.76,16785,20293.94195770033
82005,76046140.18,3739,20338.630698047607
82009,52654132.09,2435,21623.87354825462
82014,106370975.61,5292,20100.335527210886
82032,154946190.75,7942,19509.719308738353
82036,126167747.49,6143,20538.45799934885
82037,104688106.24,5483,19093.216531096114
82038,50321359.96,2666,18875.22879219805
83012,231090914.5,11507,20082.6379160511
83013,70077326.23,3334,21018.994070185963
83028,111236816.62,5722,19440.198640335548
83031,84661010.07,4161,20346.313403028118
83034,366858024.28,17897,20498.297160417944
83040,117312571.45,5695,20599.222379280072
83044,53925762.64,2679,20129.064068682343
83049,61291337.7,2882,21266.945766828594
83055,77906382.22,3703,21038.7205563057
84009,175971464.69,8994,19565.428584611964
84010,104382863.13,5400,19330.15983888889
84016,26465378.26,1415,18703.447533568906
84029,34556949.76,1728,19998.234814814812
84033,125498030.5,5746,21840.938130873652
84035,113416008.57,5381,21077.124803939787
84043,167930385.16,8186,20514.339745907648
84050,108760130.66,5515,19720.78525113327
84059,112989678.5,5741,19681.184201358647
84068,53332879.12,2523,21138.67583036068
84075,65638914.27,3186,20602.295753295668
84077,250211522.31,11840,21132.72992483108
85007,107806847.15,5274,20441.1921027683
85009,152723646.17,6063,25189.451784595083
85011,114435875.69,5838,19601.897171976703
85024,58600158.25,2818,20794.9461497516
85026,102681188.59,4675,21963.89060748663
85034,89393594.5,3742,23889.255611972207
85039,100266136.65,4512,22222.104753989363
85045,236808760.78,11416,20743.584511212335
85046,209560223.67,8699,24090.151013909643
85047,43277523.82,2141,20213.69631947688
91005,151867426.29,7199,21095.6280441728
91013,180210251.16,9460,19049.709424947145
91015,64437817.75,3471,18564.626260443678
91030,358222344.38,17103,20945.000548441792
91034,257092165.97,13296,19336.053397262334
91054,90007258.57,4686,19207.694957319673
91059,164412388.41,7528,21840.115357332623
91064,110771339.37,5314,20845.189945427173
91072,102608532.47,5116,20056.398059030493
91103,68626632.65,3277,20941.90804089106
91114,252181583.25,12615,19990.61302021403
91120,126842809.58,6019,21073.73476989533
91141,212489272.77,9233,23014.109473627206
91142,113091522.86,6168,18335.201501297015
91143,47810249.28,2505,19085.927856287424
92003,576369529.99,28114,20501.157074411327
92006,173561438.15,7321,23707.34027455266
92035,399569258.53,16705,23919.141486381322
92045,189044104.87,8115,23295.638308071473
92048,224042470.82,10453,21433.31778628145
92054,180570463.0,7392,24427.822375541127
92087,297379298.97,13465,22085.354546602306
92094,2412316592.29,113286,21294.039795649947
92097,113763900.12,5206,21852.4587245486
92101,296400416.89,12349,24001.977236213457
92114,192062966.1,8438,22761.669364778383
92137,546350264.88,28392,19243.10597633136
92138,200482990.77,8221,24386.691493735558
92140,409384395.6,19257,21258.991307057175
92141,241740435.9,9292,26015.974591046062
92142,634372881.69,26517,23923.25231700419
93010,103499903.93,4995,20720.701487487488
93014,255697620.23,14000,18264.115730714286
93018,57499424.41,2995,19198.472257095156
93022,228031953.14,11339,20110.411247905457
93056,187009945.27,9381,19934.969115232918
93088,407868800.92,18398,22169.192353516686
93090,106333269.52,5640,18853.416581560283
